paper_spec,previous_outcome,previous_failure_type,previous_final_CG,previous_final_REA,candidate_label,review_final_CG,review_final_REA,merge_source
claude_sonnet_4_5_20250929:s41467-025-56034-2,typed_residual,metric_regression,0.8,1.0,after327-pareto-terminal-plus-step2-v1-claude_sonnet_4_5_20250929_s41467-025-56034-2,1,1,strict_merge_candidate
gemini_3_1_pro_preview:s41467-025-56075-7,typed_residual,preflight:no_anchor_regenerate,0.0,0.0,gemini56075-rootexact-v2,1,1,strict_merge_candidate
gemini_3_1_pro_preview:s41467-025-56283-1,typed_residual,preflight:no_anchor_regenerate,0.0,0.0,gemini56283-compact-source-seed-v6,1,1,strict_merge_candidate
gemini_3_1_pro_preview:s41467-025-56522-5,typed_residual,preflight:no_anchor_regenerate,0.0,0.0,after327-56522-supervised-methods-evidence-bridge-v1,1,1,strict_merge_candidate
gemini_3_1_pro_preview:s41467-025-56667-3,typed_residual,metric_regression,0.5714285714285714,1.0,gemini56667-ansdelta-v7-coulomb-only,1,1,strict_merge_candidate
gemini_3_1_pro_preview:s41467-025-56698-w,typed_residual,preflight:no_anchor_regenerate,0.0,0.0,gemini56698-compact-source-seed-v1,1,1,strict_merge_candidate
gemini_3_1_pro_preview:s41467-025-56724-x,typed_residual,preflight:no_anchor_regenerate,0.0,0.0,after327-56724-phasecondition-rb-clarity-v1,1,1,strict_merge_candidate
gemini_3_1_pro_preview:s41467-025-56850-6,typed_residual,preflight:no_anchor_regenerate,0.0,0.0,after327-56850-source27-mice-psychoactive-bridge-v1,1,1,strict_merge_candidate
gemini_3_1_pro_preview:s41467-025-56852-4,typed_residual,final_metric_gate_failed,0.5333333333333333,1.0,gemini56852-compact-source-seed-v1,1,1,strict_merge_candidate
grok_4_1_thinking:s41467-025-56283-1,typed_residual,preflight:no_anchor_regenerate,0.0,0.0,after327-56283-energy-minimization-lexical-bridge-v1,1,1,strict_merge_candidate
grok_4_1_thinking:s41467-025-56611-5,typed_residual,final_metric_gate_failed,0.7857142857142857,1.0,grok56611-compact-source-seed-v1,1,1,strict_merge_candidate
grok_4_1_thinking:s41467-025-56786-x,typed_residual,preflight:no_anchor_regenerate,0.0,0.0,grok56786-compact-source-seed-v3,1,1,strict_merge_candidate
grok_4_1_thinking:s41467-025-56797-8,typed_residual,preflight:no_anchor_regenerate,0.0,0.0,after327-56797-mechanism-translation-bridge-v1,1,1,strict_merge_candidate
grok_4_1_thinking:s41467-025-56814-w,typed_residual,metric_regression,0.0,1.0,grok56814-ansdelta-v3,1,1,strict_merge_candidate
grok_4_1_thinking:s41467-025-56819-5,typed_residual,final_judge_failed,0.8181818181818182,0.05,grok56819-compact-source-seed-v1,1,1,strict_merge_candidate
grok_4_1_thinking:s41467-025-56873-z,typed_residual,final_metric_gate_failed,0.7,1.0,grok56873-ansdelta-v15,1,1,strict_merge_candidate
grok_4_1_thinking:s41467-025-56882-y,typed_residual,preflight:no_anchor_regenerate,0.0,0.0,grok56882-compact-source-seed-v1,1,1,strict_merge_candidate
grok_4_1_thinking:s41467-025-56887-7,typed_residual,preflight:no_anchor_regenerate,0.0,0.0,after327-56887-source31-nadar-hydrolase-bridge-v1,1,1,strict_merge_candidate
qwen3_5_397b_a17b:s41467-025-56106-3,typed_residual,preflight:no_anchor_regenerate,0.0,0.0,qwen56106-compact-source-seed-v1,1,1,strict_merge_candidate
qwen3_5_397b_a17b:s41467-025-56635-x,typed_residual,metric_regression,0.5555555555555556,1.0,qwen56635-step2-ansdelta-v6,1,1,strict_merge_candidate
qwen3_5_397b_a17b:s41467-025-56769-y,typed_residual,final_metric_gate_failed,0.9,1.0,qwen56769-compact-source-seed-v1,1,1,strict_merge_candidate
qwen3_5_397b_a17b:s41467-025-56795-w,typed_residual,preflight:no_anchor_regenerate,0.0,0.0,qwen56795-compact-source-seed-v1,1,1,strict_merge_candidate
qwen3_5_397b_a17b:s41467-025-56856-0,typed_residual,final_metric_gate_failed,0.8,1.0,qwen56856-barcode-ansdelta-v3,1,1,strict_merge_candidate
