paper_spec,model,paper,workflow_state,current_outcome,strict_gate_passed,failure_type,api_clean_current,original_CG,original_REA,final_CG,final_REA,delta_CG,delta_REA,quality_tier,retained_correct_ratio,protocol,metric_fallback_applied
claude_sonnet_4_5_20250929:s41467-025-56034-2,claude_sonnet_4_5_20250929,s41467-025-56034-2,locked_standard_flow,typed_residual,false,metric_regression,true,1.0,0.24,0.8,1.0,-0.19999999999999996,0.76,repair,0.24,vote_reuse_repair_root,false
claude_sonnet_4_5_20250929:s41467-025-56075-7,claude_sonnet_4_5_20250929,s41467-025-56075-7,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
claude_sonnet_4_5_20250929:s41467-025-56283-1,claude_sonnet_4_5_20250929,s41467-025-56283-1,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
claude_sonnet_4_5_20250929:s41467-025-56769-y,claude_sonnet_4_5_20250929,s41467-025-56769-y,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
claude_sonnet_4_5_20250929:s41467-025-56786-x,claude_sonnet_4_5_20250929,s41467-025-56786-x,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
claude_sonnet_4_5_20250929:s41467-025-56877-9,claude_sonnet_4_5_20250929,s41467-025-56877-9,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
claude_sonnet_4_5_20250929:s41467-025-56880-0,claude_sonnet_4_5_20250929,s41467-025-56880-0,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
claude_sonnet_4_5_20250929:s41467-025-56902-x,claude_sonnet_4_5_20250929,s41467-025-56902-x,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
claude_sonnet_4_5_20250929:s41467-025-56912-9,claude_sonnet_4_5_20250929,s41467-025-56912-9,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
gemini_3_1_pro_preview:s41467-025-56034-2,gemini_3_1_pro_preview,s41467-025-56034-2,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
gemini_3_1_pro_preview:s41467-025-56075-7,gemini_3_1_pro_preview,s41467-025-56075-7,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
gemini_3_1_pro_preview:s41467-025-56283-1,gemini_3_1_pro_preview,s41467-025-56283-1,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
gemini_3_1_pro_preview:s41467-025-56295-x,gemini_3_1_pro_preview,s41467-025-56295-x,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
gemini_3_1_pro_preview:s41467-025-56522-5,gemini_3_1_pro_preview,s41467-025-56522-5,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
gemini_3_1_pro_preview:s41467-025-56618-y,gemini_3_1_pro_preview,s41467-025-56618-y,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
gemini_3_1_pro_preview:s41467-025-56635-x,gemini_3_1_pro_preview,s41467-025-56635-x,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
gemini_3_1_pro_preview:s41467-025-56657-5,gemini_3_1_pro_preview,s41467-025-56657-5,locked_standard_flow,typed_residual,false,final_metric_gate_failed,true,0.0,0.2,0.7272727272727273,1.0,0.7272727272727273,0.8,repair,0.0,vote_reuse_repair_root,false
gemini_3_1_pro_preview:s41467-025-56667-3,gemini_3_1_pro_preview,s41467-025-56667-3,locked_standard_flow,typed_residual,false,metric_regression,true,0.7142857142857143,0.14285714285714285,0.5714285714285714,1.0,-0.1428571428571429,0.8571428571428572,repair,0.0,vote_reuse_repair_root,false
gemini_3_1_pro_preview:s41467-025-56698-w,gemini_3_1_pro_preview,s41467-025-56698-w,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
gemini_3_1_pro_preview:s41467-025-56722-z,gemini_3_1_pro_preview,s41467-025-56722-z,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
gemini_3_1_pro_preview:s41467-025-56724-x,gemini_3_1_pro_preview,s41467-025-56724-x,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
gemini_3_1_pro_preview:s41467-025-56850-6,gemini_3_1_pro_preview,s41467-025-56850-6,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
gemini_3_1_pro_preview:s41467-025-56852-4,gemini_3_1_pro_preview,s41467-025-56852-4,locked_standard_flow,typed_residual,false,final_metric_gate_failed,true,0.4666666666666666,0.3,0.5333333333333333,1.0,0.06666666666666671,0.7,repair,0.3,vote_reuse_repair_root,false
